iter	Passed	Remaining
0	66	99690
1	74	55577
2	80	40339
3	87	32691
4	94	28261
5	101	25267
6	108	23090
7	115	21495
8	122	20271
9	129	19294
10	136	18475
11	142	17731
12	150	17158
13	157	16683
14	163	16194
15	170	15805
16	177	15473
17	184	15169
18	191	14894
19	197	14647
20	205	14450
21	212	14256
22	218	14061
23	226	13899
24	233	13749
25	239	13597
26	246	13468
27	253	13346
28	260	13231
29	268	13138
30	275	13036
31	281	12925
32	288	12838
33	295	12761
34	303	12687
35	310	12617
36	317	12557
37	324	12482
38	332	12440
39	338	12365
40	345	12303
41	353	12254
42	360	12199
43	366	12142
44	373	12090
45	380	12040
46	387	11986
47	395	11949
48	401	11899
49	409	11863
50	416	11830
51	422	11776
52	430	11758
53	438	11729
54	446	11725
55	453	11694
56	460	11659
57	467	11627
58	474	11588
59	481	11567
60	489	11536
61	495	11502
62	502	11464
63	509	11433
64	516	11413
65	523	11377
66	530	11348
67	537	11323
68	545	11312
69	553	11299
70	559	11266
71	566	11243
72	573	11217
73	580	11189
74	588	11175
75	596	11169
76	602	11141
77	609	11119
78	617	11107
79	624	11082
80	631	11065
81	639	11050
82	645	11026
83	652	11000
84	659	10981
85	666	10964
86	674	10950
87	681	10935
88	688	10918
89	695	10901
90	702	10881
91	710	10866
92	716	10843
93	723	10822
94	730	10809
95	737	10788
96	745	10776
97	752	10763
98	759	10747
99	766	10736
100	773	10720
101	781	10707
102	788	10692
103	795	10684
104	803	10671
105	810	10659
106	817	10646
107	824	10631
108	832	10619
109	839	10607
110	846	10594
111	853	10583
112	861	10569
113	868	10560
114	875	10547
115	882	10534
116	890	10523
117	897	10508
118	904	10492
119	911	10482
120	918	10468
121	925	10458
122	933	10447
123	940	10439
124	947	10426
125	955	10417
126	962	10409
127	969	10393
128	976	10381
129	983	10368
130	991	10361
131	998	10351
132	1006	10341
133	1013	10332
134	1020	10316
135	1028	10310
136	1035	10300
137	1042	10291
138	1049	10277
139	1056	10263
140	1063	10253
141	1070	10238
142	1078	10231
143	1085	10218
144	1092	10207
145	1099	10197
146	1106	10187
147	1113	10173
148	1120	10160
149	1127	10148
150	1135	10140
151	1142	10132
152	1150	10125
153	1157	10119
154	1164	10104
155	1171	10094
156	1179	10087
157	1186	10079
158	1194	10070
159	1201	10064
160	1208	10054
161	1216	10044
162	1223	10038
163	1230	10026
164	1237	10016
165	1245	10007
166	1251	9992
167	1259	9982
168	1266	9971
169	1273	9962
170	1280	9954
171	1287	9944
172	1295	9935
173	1302	9923
174	1308	9910
175	1315	9899
176	1322	9888
177	1330	9881
178	1338	9874
179	1345	9865
180	1352	9857
181	1359	9847
182	1366	9836
183	1373	9826
184	1381	9816
185	1388	9809
186	1396	9803
187	1403	9796
188	1410	9786
189	1418	9778
190	1425	9771
191	1432	9761
192	1440	9752
193	1447	9744
194	1454	9733
195	1461	9722
196	1469	9718
197	1476	9708
198	1483	9700
199	1490	9689
200	1497	9679
201	1504	9669
202	1511	9659
203	1519	9651
204	1526	9644
205	1534	9635
206	1541	9627
207	1548	9618
208	1555	9607
209	1562	9599
210	1570	9591
211	1577	9582
212	1585	9580
213	1593	9573
214	1600	9566
215	1608	9559
216	1615	9554
217	1623	9549
218	1631	9541
219	1639	9537
220	1646	9526
221	1653	9518
222	1660	9508
223	1667	9499
224	1674	9491
225	1682	9483
226	1689	9473
227	1696	9463
228	1703	9453
229	1710	9443
230	1717	9435
231	1724	9424
232	1731	9415
233	1738	9407
234	1746	9399
235	1753	9390
236	1759	9379
237	1767	9369
238	1774	9359
239	1781	9351
240	1788	9343
241	1795	9335
242	1802	9326
243	1809	9315
244	1817	9308
245	1824	9300
246	1831	9292
247	1838	9283
248	1846	9277
249	1853	9266
250	1860	9257
251	1867	9247
252	1874	9237
253	1881	9229
254	1889	9223
255	1896	9215
256	1903	9206
257	1910	9198
258	1917	9189
259	1924	9180
260	1932	9171
261	1939	9162
262	1946	9156
263	1953	9144
264	1960	9136
265	1967	9128
266	1974	9120
267	1982	9115
268	1990	9109
269	1998	9103
270	2006	9098
271	2013	9092
272	2020	9082
273	2028	9076
274	2035	9066
275	2042	9059
276	2049	9049
277	2057	9043
278	2064	9035
279	2071	9026
280	2078	9018
281	2086	9010
282	2093	9002
283	2100	8994
284	2108	8987
285	2115	8978
286	2123	8972
287	2130	8964
288	2137	8957
289	2144	8949
290	2152	8941
291	2159	8932
292	2166	8923
293	2173	8916
294	2180	8907
295	2187	8899
296	2195	8892
297	2203	8886
298	2210	8880
299	2218	8873
300	2226	8868
301	2233	8861
302	2240	8853
303	2248	8844
304	2255	8837
305	2263	8830
306	2270	8822
307	2277	8815
308	2284	8807
309	2292	8798
310	2299	8789
311	2306	8781
312	2313	8774
313	2320	8765
314	2327	8757
315	2335	8751
316	2342	8743
317	2350	8735
318	2357	8728
319	2364	8720
320	2372	8712
321	2379	8705
322	2387	8699
323	2394	8690
324	2401	8682
325	2408	8673
326	2415	8666
327	2423	8660
328	2432	8657
329	2439	8650
330	2446	8642
331	2453	8633
332	2460	8624
333	2468	8617
334	2475	8608
335	2482	8599
336	2489	8592
337	2497	8584
338	2504	8578
339	2512	8570
340	2519	8563
341	2526	8554
342	2533	8547
343	2541	8539
344	2548	8531
345	2555	8522
346	2562	8515
347	2571	8511
348	2578	8503
349	2586	8497
350	2594	8491
351	2601	8483
352	2609	8477
353	2616	8470
354	2624	8463
355	2631	8454
356	2638	8448
357	2645	8440
358	2653	8434
359	2661	8427
360	2668	8420
361	2676	8412
362	2683	8405
363	2690	8397
364	2698	8390
365	2705	8381
366	2712	8375
367	2720	8368
368	2727	8360
369	2735	8354
