iter	Passed	Remaining
0	63	6249
1	70	3460
2	78	2529
3	85	2059
4	93	1772
5	100	1580
6	108	1435
7	115	1325
8	122	1238
9	129	1166
10	136	1105
11	144	1061
12	152	1017
13	160	983
14	167	947
15	174	917
16	182	888
17	188	860
18	196	838
19	203	815
20	211	795
21	218	774
22	225	755
23	232	736
24	240	721
25	247	704
26	255	689
27	262	673
28	269	659
29	276	644
30	283	630
31	290	617
32	297	604
33	304	591
34	312	580
35	320	569
36	327	557
37	335	546
38	342	535
39	349	524
40	356	513
41	363	502
42	371	492
43	378	482
44	385	471
45	394	462
46	403	455
47	411	445
48	419	436
49	426	426
50	434	417
51	441	407
52	448	398
53	455	388
54	466	381
55	474	373
56	483	364
57	493	357
58	501	348
59	509	339
60	517	331
61	525	322
62	534	313
63	542	305
64	549	296
65	557	287
66	565	278
67	573	269
68	580	260
69	588	252
70	597	243
71	604	235
72	612	226
73	620	218
74	628	209
75	637	201
76	647	193
77	656	185
78	665	176
79	673	168
80	681	159
81	689	151
82	697	142
83	704	134
84	713	125
85	722	117
86	730	109
87	737	100
88	744	92
89	752	83
90	759	75
91	767	66
92	774	58
93	781	49
94	789	41
95	797	33
96	804	24
97	812	16
98	819	8
99	826	0
